地点,户型,category,面积(㎡),价格(万元)
朝阳区,中型,三居,149.5,671.6
朝阳区,大型,两居,132.9,890.0
东城区,中型,三居,121.1,688.3
丰台区,小型,一居,52.0,271.4
丰台区,小型,两居,61.9,442.4
通州区,中型,两居,85.7,580.2
海淀区,大型,两居,129.0,732.2
东城区,中型,三居,133.1,805.8
西城区,中型,两居,88.5,772.7
西城区,中型,两居,92.6,559.4
东城区,中型,三居,133.3,723.1
丰台区,中型,别墅,242.1,1521.5
海淀区,中型,一居,71.2,598.6
西城区,中型,别墅,274.3,2234.8
朝阳区,小型,一居,35.5,231.7
通州区,小型,两居,69.7,474.5
通州区,中型,三居,129.4,982.4
通州区,大型,一居,76.5,549.8
西城区,中型,两居,85.6,720.9
通州区,中型,一居,72.9,432.5
丰台区,中型,两居,103.5,904.4
丰台区,大型,别墅,325.6,1817.9
朝阳区,大型,三居,169.4,858.6
朝阳区,中型,两居,87.8,542.1
海淀区,中型,三居,137.5,1028.2
东城区,小型,三居,109.4,669.2
海淀区,中型,三居,128.2,717.7
西城区,小型,别墅,171.3,1254.9
东城区,小型,别墅,161.1,1007.8
朝阳区,中型,两居,102.0,681.9
通州区,大型,别墅,324.2,2389.0
海淀区,大型,三居,158.8,809.4
东城区,大型,一居,91.9,479.4
通州区,小型,两居,74.3,493.9
东城区,中型,两居,88.8,382.7
朝阳区,小型,别墅,177.1,1370.7
朝阳区,大型,别墅,366.1,1837.1
海淀区,大型,别墅,294.5,2626.7
东城区,大型,别墅,326.9,2076.0
西城区,大型,别墅,298.9,2119.0
海淀区,大型,别墅,382.0,2674.8
西城区,小型,别墅,167.7,1228.7
海淀区,大型,两居,130.2,667.0
海淀区,小型,三居,103.7,830.3
西城区,中型,两居,87.4,737.3
通州区,小型,两居,67.1,575.9
海淀区,小型,别墅,182.6,1419.0
东城区,中型,三居,144.3,915.6
西城区,中型,一居,60.5,413.2
丰台区,大型,两居,118.7,548.6
朝阳区,小型,三居,92.1,659.0
通州区,小型,一居,51.6,292.0
通州区,小型,三居,108.2,888.6
朝阳区,小型,两居,84.9,555.9
丰台区,小型,一居,38.5,323.5
海淀区,小型,一居,31.9,268.5
丰台区,大型,两居,132.5,907.1
丰台区,小型,别墅,177.6,1193.0
丰台区,大型,三居,189.7,1624.7
西城区,中型,别墅,252.5,1293.1
通州区,大型,三居,164.8,1122.0
东城区,小型,一居,30.2,233.6
朝阳区,中型,别墅,253.7,1395.3
丰台区,小型,一居,39.5,163.7
海淀区,大型,别墅,331.4,1939.6
通州区,大型,三居,179.4,1489.7
西城区,大型,别墅,373.2,2551.9
丰台区,大型,两居,124.8,549.4
东城区,中型,三居,130.0,0.0
丰台区,小型,两居,71.7,444.7
西城区,大型,两居,113.0,839.4
通州区,小型,三居,118.2,563.9
东城区,中型,别墅,234.3,1657.4
通州区,小型,别墅,174.7,1469.5
通州区,小型,一居,41.6,311.0
丰台区,小型,一居,51.3,251.8
通州区,大型,两居,115.5,1020.0
丰台区,中型,一居,56.9,290.6
海淀区,中型,三居,122.3,663.9
丰台区,中型,一居,68.8,380.5
西城区,大型,别墅,330.4,1884.8
海淀区,大型,别墅,364.9,2254.1
海淀区,小型,别墅,151.4,1092.2
海淀区,中型,两居,92.5,623.4
西城区,大型,两居,122.4,550.2
东城区,中型,两居,106.4,752.8
海淀区,中型,别墅,265.5,2342.7
东城区,大型,别墅,397.0,1722.3
东城区,小型,三居,92.3,758.9
通州区,大型,别墅,397.6,2750.8
海淀区,大型,别墅,8.5,120.0
通州区,大型,两居,123.0,1052.1
东城区,小型,别墅,156.9,852.7
丰台区,小型,三居,118.5,1066.2
西城区,中型,别墅,245.9,1976.1
丰台区,大型,两居,129.4,1105.3
西城区,小型,别墅,196.1,850.2
西城区,小型,两居,80.6,516.6
海淀区,大型,一居,94.4,461.9
通州区,中型,别墅,237.9,1495.2
丰台区,大型,三居,174.4,906.3
西城区,大型,三居,176.0,1380.7
西城区,中型,两居,92.6,598.5
东城区,大型,三居,160.0,1152.9
丰台区,小型,两居,79.1,556.2
西城区,大型,别墅,290.2,1237.1
海淀区,大型,两居,124.8,651.4
西城区,大型,三居,153.2,1078.8
朝阳区,大型,别墅,356.1,1894.4
通州区,小型,一居,45.8,369.0
朝阳区,大型,两居,110.6,956.2
通州区,大型,一居,82.0,345.4
通州区,大型,一居,76.3,602.2
西城区,中型,两居,87.7,453.3
东城区,中型,两居,98.9,787.2
通州区,大型,别墅,349.3,2657.1
西城区,小型,三居,90.1,747.1
丰台区,大型,别墅,320.6,2392.8
海淀区,大型,两居,117.3,747.9
东城区,中型,别墅,219.2,1333.4
丰台区,大型,别墅,382.3,3171.8
海淀区,小型,一居,52.5,265.1
丰台区,大型,别墅,369.6,2280.4
丰台区,大型,一居,88.9,411.7
西城区,中型,一居,74.6,543.9
朝阳区,中型,一居,72.2,497.2
海淀区,中型,两居,107.6,761.5
朝阳区,小型,别墅,152.9,1058.2
东城区,大型,别墅,372.6,2860.1
东城区,小型,一居,36.4,205.3
朝阳区,大型,一居,91.9,724.2
海淀区,大型,三居,166.2,802.0
东城区,中型,别墅,266.8,1799.3
通州区,中型,别墅,222.4,1989.5
海淀区,小型,一居,50.9,351.8
丰台区,大型,三居,168.5,773.0
通州区,大型,别墅,337.0,2977.5
通州区,小型,三居,99.7,752.4
东城区,中型,两居,91.2,564.4
通州区,中型,一居,69.5,305.4
东城区,大型,两居,120.0,829.6
西城区,大型,三居,174.2,783.2
海淀区,大型,一居,87.8,526.7
西城区,中型,两居,88.4,554.1
东城区,中型,一居,61.5,492.4
